sample_size,tau,case_id,concept,bias,sample_size_fct
100,-0.03145349377056378,73,Coefficient-Induced Bias,-0.004628850945905427,N = 100
100,-0.028056376795957294,207,Coefficient-Induced Bias,-0.003139944237957215,N = 100
100,-0.03146132784567629,25,Coefficient-Induced Bias,-0.004547047086714329,N = 100
100,-0.013458299452299038,51,Coefficient-Induced Bias,0.001191776801071076,N = 100
100,-0.031319133850254754,80,Coefficient-Induced Bias,-0.004248545731175168,N = 100
100,-0.030800473502088588,136,Coefficient-Induced Bias,-0.004649231780390228,N = 100
100,-0.02888376950152116,179,Coefficient-Induced Bias,-0.0038603016762166487,N = 100
100,-0.017020548882241804,100,Coefficient-Induced Bias,6.206855692214575e-5,N = 100
100,-0.03151417528655892,157,Coefficient-Induced Bias,-0.004653048240210678,N = 100
100,-0.020607793743717795,204,Coefficient-Induced Bias,-7.34430283874099e-5,N = 100
100,-0.029333577786241127,150,Coefficient-Induced Bias,-0.003998107519786354,N = 100
100,-0.023620177830281475,214,Coefficient-Induced Bias,-0.0016816842211594407,N = 100
100,-0.00612871639219037,32,Coefficient-Induced Bias,0.0017035939072765904,N = 100
100,-0.016517355982777815,155,Coefficient-Induced Bias,4.336137907003934e-4,N = 100
100,-0.029714674894805726,137,Coefficient-Induced Bias,-0.003142971387938176,N = 100
100,-0.02101202433968352,186,Coefficient-Induced Bias,-0.0014112837373355669,N = 100
100,-0.02988592314537386,37,Coefficient-Induced Bias,-0.003744388020397227,N = 100
100,-0.03151507363602574,228,Coefficient-Induced Bias,-0.004649234960650339,N = 100
100,-0.025678526099331078,192,Coefficient-Induced Bias,-0.0022954894808157045,N = 100
100,-0.028056376795957294,162,Coefficient-Induced Bias,-0.003139944237957215,N = 100
100,-0.010577182123233442,114,Coefficient-Induced Bias,0.0014731186373611038,N = 100
100,-0.01751855808657443,38,Coefficient-Induced Bias,-1.0638687898290033e-4,N = 100
100,-0.016597247620720124,158,Coefficient-Induced Bias,5.306941018839995e-4,N = 100
100,-0.03059639122958091,33,Coefficient-Induced Bias,-0.004512892925876755,N = 100
100,-0.03037751726474036,77,Coefficient-Induced Bias,-0.004556077421497662,N = 100
100,-0.030092819005291593,19,Coefficient-Induced Bias,-0.004490688299760848,N = 100
100,-0.0277614507720495,249,Coefficient-Induced Bias,-0.002980914087358455,N = 100
100,-0.02574125894122889,198,Coefficient-Induced Bias,-0.0013547484711226299,N = 100
100,-0.02572782311306676,55,Coefficient-Induced Bias,-0.0031235703337672005,N = 100
100,-0.017604784072237423,3,Coefficient-Induced Bias,5.412484061959599e-4,N = 100
100,-0.03087507972290593,13,Coefficient-Induced Bias,-0.004653394013383494,N = 100
100,-0.023871391308719403,35,Coefficient-Induced Bias,-0.0023424492887572645,N = 100
100,-0.03104989729220431,90,Coefficient-Induced Bias,-0.004502587163126681,N = 100
100,-0.031399946930175116,184,Coefficient-Induced Bias,-0.004313090221230276,N = 100
100,-0.027528962766295906,236,Coefficient-Induced Bias,-0.00345170042715226,N = 100
100,-0.028367533433866554,222,Coefficient-Induced Bias,-0.0031898789887091494,N = 100
100,-0.025807012733316093,21,Coefficient-Induced Bias,-0.002346966820920837,N = 100
100,-0.027397145425570923,193,Coefficient-Induced Bias,-0.003709178950225822,N = 100
